id,type,question,correctAnswer,title,description,address,lat,lng,osGrid,w3w
1,text,Keep Phone number at The Pightle House with no space,01442833100,Location B,A builing on the north side of stret,"Lots of Rice, 1, Holliday Street, Ashlyns Estate, HP4 2EE",51.758557,-0.558599,SP 99582 07635,///centrally.deny.unpacked
2,text,when was coleShill house built,1882,Location C,By the graveyard,"Hilltop Road, Ashlyns Estate, HP4 2HH",51.757075,-0.560996,SP 99419 07467,///ringers.buyers.wove
3,text,UK`s    ??  favourite parks,10,Location D,I the Graveyard,"Rectory Lane, Ashlyns Estate, HP4 2DH",51.757856,-0.561258,SP 99400 07553,///flexibly.educated.cobbled
4,text,In theyear of our Lord,1812,Location E,I the Graveyard,"Three Close Lane, Ashlyns Estate, HP4 2FG",51.758018,-0.560778,SP 99432 07572,///enlighten.strutted.collision
5,text,Chris Stoke What month,September,Location F,In the electric box,"Rectory Lane, Ashlyns Estate, HP4 2JF",51.758665,-0.561301,SP 99395 07643,///polka.handsets.makeup
6,text,What is the Red number on the meeter,8,Location G,High st,"Dower House Coffee, 108, High Street, Ashlyns Estate, HP4 2BL",51.759285,-0.560909,SP 99421 07713,///gains.blemishes.pacifist
7,text,Whos Manor,Pilkington,Location H,High st,"Dower House Coffee, 108, High Street, Ashlyns Estate, HP4 2BL",51.759231,-0.56104,SP 99412 07706,///pointer.conveying.entire
8,text,Churchill house number,107,Location I,High st,"Fred and Ginger Coffee, 125, High Street, Ashlyns Estate, HP4 2DJ",51.759554,-0.562304,SP 99324 07741,///touched.carbonate.plugs
9,text,Red house what FM year,1832,Location J,High st,"Dean Incent's House, High Street, Ashlyns Estate, HP4 2DJ",51.759554,-0.562347,SP 99321 07741,///fault.demanding.nearing
10,text,Phone box number with no space,01442863721,Location K,Back Lane,"Church Lane, Ashlyns Estate, HP4 2AX",51.759851,-0.562217,SP 99329 07774,///nearing.cuddling.intention
11,text,The Courthouse what century blue plaque,16th,Location L,High st,"Hanako Flowers, 140, High Street, Ashlyns Estate, HP4 3AT",51.759743,-0.562783,SP 99290 07761,///rectangular.tilt.musical
